username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
sunflowe29,≧ω≦ เจ้าดอกทานตะวันคือรอยยิ้มและความสดใส  ≧ω≦ #JackieJackrin #chejack,,203,248,40165,2019-04-24 15:19:55,2020-08-04 23:59:42,2132,Pray for Beirut🙏🏻😢  #Beirut,"[{'text': 'Beirut', 'indices': [32, 39]}]"
erykaq,"Disregard Males, Acquire Currency! Snapchat- eryka_love 🎃                     Bay Area🤟🏽",,2561,1884,62233,2012-04-04 02:44:29,2020-08-04 23:59:42,16115,#Beirut streets now. https://t.co/8mZSXTLNQI,"[{'text': 'Beirut', 'indices': [16, 23]}]"
brittanysonn,,"Long Beach, CA",165,70,1516,2019-10-09 19:14:33,2020-08-04 23:59:42,28497,"my heart, strength and condolences are with Lebanon and everyone affected by this tragedy. 
please support / donate if you’re able to, i will be doing so too. https://t.co/8ACJFzxl69",[]
419ys_am,DoDo Lashes use code: MACIAS  Taurus Sun ☀️ ♉️ Aries Moon 🌚 ♈️,"Texas, USA",378,325,31303,2012-09-01 03:05:35,2020-08-04 23:59:41,58388,Explosion in #Beirut #Lebanon - view from Annahar building. Praying for everyone’s safety 🙏🏼😓 https://t.co/Zf6fXaahUq,"[{'text': 'Beirut', 'indices': [30, 37]}, {'text': 'Lebanon', 'indices': [38, 46]}]"
GrammaYayam164,"Wife of highly decorated war hero. Gramma Yam Yam to 5 amazing grand children. Mother, daughter, sister, Friend.  Saved by God's amazing grace.",California,907,1253,113415,2009-07-10 16:18:44,2020-08-04 23:59:41,8384,"""Let me begin by sending America's deepest sympathies to the people of Lebanon."" https://t.co/CZitqk2A0S",[]
SHSLBlKER,my main won't unlock send help,r + k | rot/rots | white | 16,57,56,623,2020-08-03 20:43:06,2020-08-04 23:59:41,69415,HOW TO DONATE PROPERLY TO LEBANON: a thread,[]
MaxLangley13,"max. 22. non-binary trans dude. he/they pronouns. bi, ace, and polyamorous. // this is mainly a political twitter now //18+ pls n thx //


please god interact","Ontario, CA",1005,390,6014,2018-02-12 04:39:48,2020-08-04 23:59:41,23831,"⚠️ DON'T SCROLL PAST THIS ⚠️

A thread of carrds and ways to help Lebanon since petitions don't work.",[]
noraziraramdan_,We will never know our limits until we push ourselves endlessly. ❤,"Raub, Pahang",278,643,18156,2013-04-08 06:04:02,2020-08-04 23:59:41,1927,"My heart breaks for Beirut. Please consider helping and may Allah grant our brothers and sisters ease and safety, Amin! https://t.co/cF8XOvsYod",[]
subarashii555,"ติดลิมิตโว้ย
|YOBI |18⬇️| TWST¦あんスタ¦22/7¦ Hyp Mic¦ MHYK ¦ SideM ¦ Love live¦ Tokyo7th¦ Dc¦วงผู้หญิงตึกฟ้าติ่งหมด¦iu¦ไทย-日本人|",ไม่บอกหรอก,2695,289,47679,2020-02-23 07:37:28,2020-08-04 23:59:41,755,"Historically - this is the strongest and most catastrophic explosion to hit the capital of #Lebanon - Beirut. 

I remember PM Rafic Hariri's assassination in Beirut - the damage, I also remember the 2006 war in Lebanon and the sound of airstrikes   and damage. Today was worse. https://t.co/n5NdFKpkak","[{'text': 'Lebanon', 'indices': [107, 115]}]"
oikawaboke,#GON: gotta look cute so they forget you don’t know basic math,she/her⭑,1044,1027,30703,2018-08-19 15:59:23,2020-08-04 23:59:41,48971,ways to help lebanon: a thread,[]
nanadijah,𝘚𝘰 𝘸𝘩𝘪𝘤𝘩 𝘰𝘧 𝘵𝘩𝘦 𝘧𝘢𝘷𝘰𝘶𝘳𝘴 𝘰𝘧 𝘺𝘰𝘶𝘳 𝘭𝘰𝘳𝘥 𝘸𝘰𝘶𝘭𝘥 𝘺𝘰𝘶 𝘥𝘦𝘯𝘺? ☾,𝘖𝘮𝘸 𝘵𝘰 𝘑𝘢𝘯𝘯𝘢𝘩,421,242,24665,2018-10-28 10:20:56,2020-08-04 23:59:41,150,"to anyone unsure if the donation money goes to lebanon, donate to the lebanese red cross directly",[]
ABduLSabOoR09,🇵🇰💚,"Karachi, Pakistan",185,7,40,2019-07-01 16:47:14,2020-08-04 23:59:41,84,"Our sincere condolences to #Lebanon, dozens of victims, may Allah 'God' have mercy on them and forgive them
#Beirut https://t.co/w2MPnhq7we","[{'text': 'Lebanon', 'indices': [48, 56]}, {'text': 'Beirut', 'indices': [129, 136]}]"
ClareFeona,$ebyor,,265,267,13881,2018-12-31 12:25:22,2020-08-04 23:59:41,1897,"Prayers for Lebanon 🙏🙏🙏
🎥 cto https://t.co/rCvcMOXk9Q",[]
badluckmoose69,"LAU| Im just a kid and life is a nightmare | Skateboarding saved my life | 🏊⭕️| 🐶🐕 ♥️. Today sucked, Tomorrow is worse",Lebanon| Dubai,2634,2598,40495,2017-01-19 02:55:51,2020-08-04 23:59:41,3,@fairestlarri @badluckmoose69 https://t.co/KMDrQTInSy this is a trustworthy source.,[]
Ginger1200,Sports gambling degenerate. I retweet things to go back and view them later on. PGA is the best sport.,"Belpre, OH",419,162,3206,2015-03-14 18:05:21,2020-08-04 23:59:41,21593,Terrifying video from a guy driving his car while filming the Beirut explosion...https://t.co/0XpfqCw22L,[]
ts_patriot,MAGA for Life,,186,47,3159,2020-04-21 21:38:30,2020-08-04 23:59:41,1723,"More footage appears to show that there were two separate explosions in Beirut. 

Watch until the end. 
 https://t.co/0mWW8bLKzp",[]
Maazinsanbano,no larai jhagra insan bano sab khud b khush raho or dosro ko b khush rakho✋,"کراچی, پاکستان",1336,346,8097,2014-04-19 07:18:24,2020-08-04 23:59:41,5428,"Dramatic video shows a massive explosion near Beirut's port that caused destruction to homes miles away. Dozens have been killed and thousands are believed to be injured, officials say. https://t.co/wOOvmOdkM4 https://t.co/2QxqtTfuQz",[]
thalionggg,"erina, badminton & kdrama enthusiast.",,748,628,33143,2013-04-24 10:44:54,2020-08-04 23:59:41,19336,"tw // b0mb explosion 

this jus happened in my country in Lebanon pls pls keep us in ur prayers

 https://t.co/apMtol6AS6",[]
harryshortcakes,"#HARRY: baby long legs

zayn pirouette🩰 @sugarstylz",she/her. ot5. larry. minor. ♍︎,952,1041,8636,2015-09-08 02:53:28,2020-08-04 23:59:41,18750,A houses and hotels and schools that are wide open for all the injured / harmed from the explosion in Lebanon.  A thread ( please share ),[]
peachiall,@NiallOfficial ❤️,SAN SIRO-MILLENNIUM STADIUM.,6032,5593,59965,2011-04-05 14:02:30,2020-08-04 23:59:41,62377,"a thread to summarize what's happening in lebanon. please link petitions and donation links below, do whatever you can to help. https://t.co/ovVBGJeagT",[]
chitaluhan,Always support EXO ot9💫  @B_hundred_Hyun | #Delight  #HUNHAN #CHANBAEK 💗,,3539,414,100016,2014-01-25 16:43:18,2020-08-04 23:59:41,1452,"Burj Khalifa &amp; The Pyramids of Egypt shows solidarity to Lebanon. 💔
#Beirut 
#Lebanon https://t.co/Fl4Wk4NUVt","[{'text': 'Beirut', 'indices': [93, 100]}, {'text': 'Lebanon', 'indices': [102, 110]}]"
ardhiansyahK,"I desire nothing more than a deep, restful sleep",panggung sometimes field,802,225,13288,2012-01-06 08:09:03,2020-08-04 23:59:41,6856,"JUST IN: Lebanese sources report 2,700 tons of ammonium nitrate exploded at Beirut Port earlier today",[]
oopmingi,"NCT,ATEEZ,CIX,1TEAM, Secret Number (I’m 17, she/her) abolish america",Black & White (white mom),784,184,66912,2017-04-07 04:19:12,2020-08-04 23:59:41,919,The recent tragedy in Lebanon is frightening and the before and after pictures have left me at lost for words. My heart and prayers go out to all those who were affected. Please donate to the Lebanese Red Cross for funds to go directly to those who are currently affected,[]
louisghostofyou,𝙇𝙞𝙠𝙚 𝙩𝙝𝙚𝙧𝙚 𝙖𝙞𝙣'𝙩 𝙚𝙣𝙤𝙪𝙜𝙝 𝙙𝙮𝙞𝙣𝙜 𝙨𝙩𝙖𝙧𝙨 𝙞𝙣 𝙮𝙤𝙪𝙧 𝙨𝙠𝙮 ᴏᴛ𝟻 卌 ❯❯❯❯ 𝚜𝚑𝚎/𝚑𝚎𝚛,KFC,1516,1522,9432,2019-03-24 21:20:45,2020-08-04 23:59:41,89346,how you can help lebanon; a thread,[]
hyunrubyjane,❤JEN 💜IRENE 🤎MINO,rubyhyun,629,225,105586,2015-03-06 14:22:19,2020-08-04 23:59:41,1937,"Devastating photos from the massive explosion in Beirut, Lebanon
 please pray for Beirut, Lebanon 
#Beirut https://t.co/KKKq1ZTlvu","[{'text': 'Beirut', 'indices': [120, 127]}]"
goldnhest,#HARRY: i was leaving on a train,she / her,756,1077,7411,2017-05-11 19:28:38,2020-08-04 23:59:41,4102,MOOTS THAT LIVE IN LEBANON download the careem ride app and use the promo code DONATEBLOOD to get a FREE ride too a hospital in lebanon to donate blood for those in need.,[]
yeochingalaxy,ayooo | stan account,milky way,137,6,636,2019-11-04 13:43:36,2020-08-04 23:59:41,29801,"carrds to educate yourself on what’s happening in lebanon, please check them out:",[]
itspoppymyguy,Silence is violence. Speak out.,She/her the moon,205,205,5552,2015-10-23 21:19:51,2020-08-04 23:59:41,155,"PLEASE DONATE HERE. this one donates DIRECTLY to lebanon unlike many of the other ones. so PLEASE if you can donate, donate here. https://t.co/mKhHfnQyAZ",[]
irfanzafiz,,"Selangor, Malaysia",214,234,5108,2018-06-21 16:06:09,2020-08-04 23:59:41,34739,"Video of the explosion that rocked #Beirut not long ago 
 https://t.co/Lt1kahDXEt","[{'text': 'Beirut', 'indices': [50, 57]}]"
GissellPaola07,,,242,75,211,2015-07-25 02:28:42,2020-08-04 23:59:41,28497,"my heart, strength and condolences are with Lebanon and everyone affected by this tragedy. 
please support / donate if you’re able to, i will be doing so too. https://t.co/8ACJFzxl69",[]
Etinni_305,"Can’t argue with these lazy bitches, I just raise my price",,313,649,193912,2013-07-05 21:20:04,2020-08-04 23:59:41,69415,HOW TO DONATE PROPERLY TO LEBANON: a thread,[]
JaaayeTea,Just Chilling on the old Maryland road 🤷🏾‍♂️,,140,75,5564,2014-03-12 23:42:40,2020-08-04 23:59:41,58388,Explosion in #Beirut #Lebanon - view from Annahar building. Praying for everyone’s safety 🙏🏼😓 https://t.co/Zf6fXaahUq,"[{'text': 'Beirut', 'indices': [30, 37]}, {'text': 'Lebanon', 'indices': [38, 46]}]"
wilting_rxse_,"Welcome To My Imaginary World ✨🌍🖤

     IG👉🏼@wilting_rxse_",♡,155,384,29120,2018-11-10 15:11:25,2020-08-04 23:59:41,582,"According to the locals , #BeirutBlast is apocalyptic .The blast was even felt in Cyprus and people living in #Damascus can witness the nitrite clouds all the way there.

And these are the poisonous nitrate clouds

#Lebanonexplosion #بيروت #Beirut https://t.co/Sqip9bJXK0","[{'text': 'BeirutBlast', 'indices': [46, 58]}, {'text': 'Damascus', 'indices': [130, 139]}]"
Mexi_x,“I continue to grow within your happiness”,Given a chance,498,837,54652,2011-12-06 08:06:59,2020-08-04 23:59:41,241,"❗️❗️Guys, please wear masks and stay inside, beirut’s atmosphere is contaminated now with nitric acid, which is a corrosive acid. It’s not cancerigen or mutagen, but if exposed for too long to this gas, it can damage your skin and lungs. 
Stay safe and please read this message❗️",[]
matsugae,劇作家、演出家、シナリオライター。アクターズ・ヴィジョン代表。憧れ、バタイユ。死に至るまでの生の称揚。聖性とエロティシズム。京都大学経済学部卒業（専攻、数理経済学、財政学、公共選択、ゲーム理論）。吉田和男ゼミ。伊藤秀史ゼミ。日本銀行調査統計局に6年務めるも退職。演劇、映画というヤクザな世界に身投げ。,tokyo,1231,2448,21847,2009-11-26 21:49:11,2020-08-04 23:59:41,21593,Terrifying video from a guy driving his car while filming the Beirut explosion...https://t.co/0XpfqCw22L,[]
vnzyrtx,"just do what do you want|be yourself|
be everything to everyone|simple person|BL|","Kota Manado, Sulawesi Utara",33,27,7699,2015-10-10 09:29:04,2020-08-04 23:59:41,2394,"Explosions, shockwaves, screaming children and panic in a Beirut neighborhood https://t.co/EvnJPuoKuc",[]
ashley_gon_,"Hello, I'm obsessed with the Jonas Brothers ☆ TXST Alumna",,275,181,3110,2017-11-15 04:26:32,2020-08-04 23:59:41,12717,"Terrifying footage is coming out of Beirut...

https://t.co/aEYysK9nTO",[]
ethcleveland_,Physics student 📚,Birmingham / Leeds,125,98,10446,2017-02-16 21:38:49,2020-08-04 23:59:41,4919,"Worried about whomever took this video, as they were out in the open near the Beirut blast with no barriers https://t.co/gb3JdVs9Hw",[]
louis91dagger,"#HARRY: 𝘛𝘰 𝘵𝘩𝘦 𝘣𝘰𝘺𝘴, 𝘐 𝘭𝘰𝘷𝘦 𝘺𝘰𝘶 𝘴𝘰 𝘮𝘶𝘤𝘩.








• 𝘧𝘢𝘯 𝘢𝘤𝘤𝘰𝘶𝘯𝘵 •",she/her | 19 | ♎,762,3295,256909,2014-05-16 17:43:25,2020-08-04 23:59:41,4102,MOOTS THAT LIVE IN LEBANON download the careem ride app and use the promo code DONATEBLOOD to get a FREE ride too a hospital in lebanon to donate blood for those in need.,[]
FangirlKimjane,"BTS🔰ARMY
I 💜 U
🇵🇭",,808,225,60,2020-07-08 00:50:09,2020-08-04 23:59:41,260,"please share this to spread awareness!! lets help the people in lebanon
https://t.co/qydjQK24MN",[]
Ciudadana_2020,En cuarentena en Peronia 😡,Argentina,2615,1647,21506,2010-05-27 19:56:17,2020-08-04 23:59:41,231114,Stunning video shows explosions just minutes ago at Beirut port https://t.co/ZjltF0VcTr,[]
21cwakeupcall,"You Are Being Lied To By A Pack Of Evil, Self-Serving, Indifferent, Animals.",United Kingdom,765,287,48072,2016-06-03 09:04:00,2020-08-04 23:59:41,0,Video shows huge mushroom cloud erupt as huge explosion kills at least 70 https://t.co/dYwPsPLyLu,[]
Neroverow,Pengen jadi petani,Indonesia,216,30,569,2017-04-28 06:33:21,2020-08-04 23:59:41,4581,"Fireworks storage was exploding just before the huge explosion, this video is filmed about 100 metres from the major explosion 
#Beirut #Lebanon https://t.co/tM0vYuZo8u",[]
killuamyson,"guys i dont get it why is it gay to be locked in a closet • cw: soul eater, mha", feitan's house • she/her,910,1250,30436,2020-01-22 00:46:51,2020-08-04 23:59:41,6672,"every lebanon petition, carrd and places to donate i find. please rt so more people can find this and add more petitions in the replies.",[]
Munyaradzi_s19,mans has no bio.,Mutare Zimbabwe,361,275,1053,2017-12-02 15:10:02,2020-08-04 23:59:41,14758,"Our thoughts and prayers go out to everyone affected by the recent explosion in Beirut, Lebanon.

Stay strong ❤️",[]
LXDeus,♎️,Samoa,177,174,2843,2017-06-26 00:33:27,2020-08-04 23:59:41,1355,"what happened today in #Lebanon - 4th of August
a thread

please take some of your time to educate yourself about this huge incident

this thread will contain petitions and donations
⚠️rt to help spread awareness⚠️

TW// fire, explosions https://t.co/HctDKOogws","[{'text': 'Lebanon', 'indices': [37, 45]}]"
ryunca,携帯ゲームばっかやってる元農夫 / 英語喋る彼女とそろそろ1年半 / ゆるくアニメ見たり漫画読んだりする相互さん欲しいね！,東京,636,656,165633,2010-03-26 06:34:00,2020-08-04 23:59:41,23016,"Footage from the massive explosion in Beirut Port, Lebanon https://t.co/bdvzrS05Qf",[]
iIIdyke,"bitches be like ''what that six inch cock do?'' pee, whore",4/11/18♡ ,371,256,33376,2020-02-16 20:38:38,2020-08-04 23:59:41,703,the only thing we can do for the people of Lebanon right now is donate so the people who are extremely injured but still alive can be treated. any preventable death is a life saved. please please donate to the lebanese red cross if you are able to.,[]
n1ka1312,"🐯任嘉伦🇨🇳战哥🐰💕 |🐧EXO-L & ARMY🐷 บ้าผู้ชาย | สายรี | ขี้บ่น | พูดหยาบ | 
Freelance writer | Drawing | Game addiction | Amateur photograph",,12,2,49,2020-04-12 01:04:58,2020-08-04 23:59:41,1898,Heartbreaking🤯😭💔 #BeirutBlast #explosion #Lebanon #Beirut #بيروت #لبنان https://t.co/iH6xnKi2yP,"[{'text': 'BeirutBlast', 'indices': [38, 50]}, {'text': 'explosion', 'indices': [51, 61]}, {'text': 'Lebanon', 'indices': [62, 70]}, {'text': 'Beirut', 'indices': [71, 78]}, {'text': 'بيروت', 'indices': [79, 85]}, {'text': 'لبنان', 'indices': [86, 92]}]"
amaliarchmah,,Indonesia,197,302,20052,2012-03-09 13:26:35,2020-08-04 23:59:41,16115,#Beirut streets now. https://t.co/8mZSXTLNQI,"[{'text': 'Beirut', 'indices': [16, 23]}]"
THahnBurkett,"Writer & public policy advocate. PhD in dark chocolate. 3 pets, 2 kids, 1 husband, 0 partridges or pear trees. I tweet a lot. https://t.co/s6MGjQ1CFW",New Hampshire,1042,1484,63275,2009-07-08 16:14:27,2020-08-04 23:59:41,6487,"UPDATE: Lebanon’s health ministry says the death toll from the #Beirut explosion rose to at least 78.

Nearly 4,000 people were injured.

About 2,750 tons of ammonium nitrate was being stored near the blast site without safety measures, the PM said, calling it “unacceptable.” https://t.co/qx2GrPeMo7","[{'text': 'Beirut', 'indices': [75, 82]}]"
rosieIatte,— for chaennie & jaehyun (read carrd byf!),s/her • 𝟏𝟐𝟕,278,1079,12354,2017-08-21 21:21:13,2020-08-04 23:59:41,28497,"my heart, strength and condolences are with Lebanon and everyone affected by this tragedy. 
please support / donate if you’re able to, i will be doing so too. https://t.co/8ACJFzxl69",[]
Pope_Yoko,I WILL BE THE HEAD BUT NOT THE TAIL.......,"Agona Swedru, Ghana",2675,567,10087,2013-05-26 14:37:35,2020-08-04 23:59:41,4982,The actual moment when a massive explosion rocked #Lebanon’s capital city #Beirut https://t.co/zHEpxeTJYC,"[{'text': 'Lebanon', 'indices': [70, 78]}, {'text': 'Beirut', 'indices': [94, 101]}]"
yerimphoric,#SHINEE: are you married to the music?,so far away (she/her),294,534,16341,2019-10-20 13:58:52,2020-08-04 23:59:41,23831,"⚠️ DON'T SCROLL PAST THIS ⚠️

A thread of carrds and ways to help Lebanon since petitions don't work.",[]
TwinnieNiJAH,"I'm not lucky. I'm BLESSED 🙏 Fan Account
FANBOY 👱🏻‍♂️FOLLOWED BY JELRICHI 525618317

🍿³⁰🐱⁰⁴² ˢᴮᵀⁱⁿ⁷¹ ʲᵃʰ⁰⁹ 🌳⁶⁰",Republic of the Philippines,1521,1784,71693,2018-12-12 06:33:47,2020-08-04 23:59:41,1532,"Prayers for Beirut, Lebanon🙏🏻🥺",[]
mikadipea2,she/her,,123,17,363,2012-07-17 15:25:51,2020-08-04 23:59:41,75894,"tw//death, explosions 

what's happening in Lebanon atm :",[]
rvorbt,,lavieyur,66,70,1211,2020-06-21 05:26:14,2020-08-04 23:59:41,29801,"carrds to educate yourself on what’s happening in lebanon, please check them out:",[]
kiwitapes,#HARRY: good old fashioned lover boy!,"she/her, 15",190,212,746,2019-11-13 05:06:56,2020-08-04 23:59:41,69415,HOW TO DONATE PROPERLY TO LEBANON: a thread,[]
shrfhhnn,:):,bts&ariana,36,36,3083,2018-11-05 11:14:58,2020-08-04 23:59:41,9072,"ATTENTION: We are calling on the world, our friends, our fellow Lebanese in the diaspora to DONATE to help us provide disaster relief. We will update the page to provide exact details on how your money will be spent. Donate here: https://t.co/eER5BZs8jG #بيروت https://t.co/7mmF0llIaf",[]
pziadeh,🇺🇸 🇱🇧 #Beirut,Hogwarts,284,180,8306,2011-02-11 23:59:50,2020-08-04 23:59:41,1130,"It’s hard to imagine Lebanon recovering from this unfathomable widespread devastation. 

But mark my words, Lebanon will be back.  The people of this country have unparalleled resilience. 🇱🇧 https://t.co/qffRxe5S8I",[]
chases420,,Behind you,144,13,205,2016-11-14 16:20:45,2020-08-04 23:59:41,0,"@GiuliaA09263722 @BryceHall Even though both situations are terrible, you can't compare the chernobyl incident to the beirut incident. But it's more likely that it was something more than an accident in firework factory, doesn't seem right with the explosion and everything. There must've been something else",[]
molleerenee2k,Sᴡᴇᴇᴛ ʟɪᴛᴛʟᴇ ʙᴀʙʏ ɪɴ ᴀ ᴡᴏʀʟᴅ ғᴜʟʟ ᴏғ ᴘᴀɪɴ,,694,191,17850,2017-11-05 20:23:25,2020-08-04 23:59:41,562,"Please mute Trump on Lebanon. 

Find Lebanese people and experts that are on the ground. 

thx",[]
hwasathighs24,,She/her,324,102,13684,2019-08-11 11:24:54,2020-08-04 23:59:41,39996,"A father doing his absolute best to protect his son from the explosion in Beirut..

Pray for Lebanon 💔

https://t.co/c1Sfm8zvTs",[]
bameeyas,,"London, England",202,51,2064,2018-06-17 23:59:35,2020-08-04 23:59:41,118623,Petitions don’t work in the Middle East so instead here is a thread of donation links specifically to help those in Lebanon!!!! Please share and donate if you can!!!!,[]
magacaroljean,#KeepAmericaGreat! #Jesus my Saviour & Lord; #Israel; #ProLife; #ConstitutionalConservative; #1A; #2A; #Vets; #BackTheBlue; #Trump #MAGA #CCOT,,2644,2498,175682,2013-09-25 22:28:50,2020-08-04 23:59:41,6085,I’d like to extend my deepest condolences to all those affected by the massive explosion at the port of Beirut on August 4. We are monitoring and stand ready to assist the people of Lebanon as they recover from this horrible tragedy.,[]
PIECEOFMANG,"#JHOPE : ready, set and begin ! (^♡^)🐿🌈⭐",,451,277,11139,2015-03-07 22:58:07,2020-08-04 23:59:41,48971,ways to help lebanon: a thread,[]
pimientosbkk,"Thai diplomat, retweeting interesting news. Opinions are my own not endorsement by MFA or RTG or RTE Seoul.",bangkok,254,146,29707,2013-11-06 07:46:22,2020-08-04 23:59:41,2339,"Video posted on social media captures moment of huge blast in Lebanese capital Beirut

It is not yet clear what caused the explosion in the port area of the city

https://t.co/p2IVAa5RWv https://t.co/J678y6gMt9",[]
ducharme_josie,umm yes sirrr,,40,24,29,2017-12-06 23:06:44,2020-08-04 23:59:41,1834,"Awareness 

People in Beirut,Lebanon needs to stay indoors due to the recent Firewooks/nuclear explosion that happened in Beirut. The smoke is filled with nitric acid (Red/pink/purple smoke) which is toxic and can form an acidic rain.
#BeirutBlast #Beirut https://t.co/eyKYSiVJZ0",[]
Miriamlovecats,Minha vontade de aprender,,46,33,10790,2019-05-18 18:16:02,2020-08-04 23:59:41,23488,"BREAKING: Lebanese Prime Minister says #Beirut explosions caused by an estimated 2,750 tons of ammonium nitrate left unsecured for 6 years in a warehouse. He vows to punish officials responsible. 50+ dead, 3,000 injured, hospitals overwhelmed.","[{'text': 'Beirut', 'indices': [57, 64]}]"
redheadjojoswia,I’m the redhead jojo siwa,,516,87,2114,2014-05-15 19:32:14,2020-08-04 23:59:41,19336,"tw // b0mb explosion 

this jus happened in my country in Lebanon pls pls keep us in ur prayers

 https://t.co/apMtol6AS6",[]
DisfunkGlee,just a girl trying to help solve some cold case and raise some victims voices. https://t.co/ePQEHBi8Aj @somesipping,"Maryland, USA",530,1497,15631,2017-06-30 05:04:46,2020-08-04 23:59:41,191,"If you are uncomfortable donating to Red Cross, donate to the disaster relief fund. It’s in the link above but here it is again https://t.co/TsG0ad5MEb",[]
autumneine,🍀 fan account,,161,27,93086,2019-04-02 13:34:24,2020-08-04 23:59:41,3448,"My God. Lebanon economy collapsing and now this massive explosion. Beirut port (and a lot more, from the looks of it) utterly destroyed. Can’t imagine the human toll we are going to see.
#PrayForBeirut
 https://t.co/LuAfMoT8v8",[]
StrumilloX,34U EE 04787 42795,,3486,1592,8992,2016-12-17 05:39:54,2020-08-04 23:59:41,2280,"Interviewing ER doctors at some of Beirut's biggest hospitals, and they are crying. St. George Hospital is destroyed. Patients  streamed down the stairs to exit the hospital, bc elevators were damaged. Children being treated for cancer are now wounded from flying glass shards.",[]
Nadiajimined,"💜BTS💜
💚YiBO 💚SeungYoun
我会陪你到世界之颠 - JM1013",Map Of The Soul,860,578,64331,2010-02-19 07:00:31,2020-08-04 23:59:41,5052,"DONT spread petitions lebanese people have said this won’t help them due to the corrupt government the best thing you can do is spread awareness, donate to the lebanese cross (the most effective way of donating) and if you are lebanese please donate blood if you are able! #Beirut https://t.co/PHp2YPxG2a",[]
UncleDiN93,Bercita-cita untuk ke Emirates Stadium hakikatnya aku seorang peminjam PTPTN tegar. #COYG #ARSENAL,"Emirates Stadium, North London",967,868,33444,2009-07-11 02:30:11,2020-08-04 23:59:41,17295,"Beirut, we’re thinking of you.

Stay strong, Lebanon ❤️",[]
MalClari,,,231,37,2693,2019-11-28 16:42:20,2020-08-04 23:59:41,2672,"A Lebanese trying to flee from the explosion in Beirut still got hit from a distance 💔. Pray for Lebanon, pray for the world 
#BeirutBlast #Beirut https://t.co/k1m0fFbhHq",[]
delexical,// Scattershot Connemara man // Wayward Cogitations// Tweets photographic: @fieldoptic,Atlantic,2130,1971,3112,2008-05-20 15:46:24,2020-08-04 23:59:41,978,"A BBC reporter in Beirut was online conducting an interview when the #BeirutBlast took place. 

This is horrifying to watch 😥

@akhbar

https://t.co/0MNp4dOhha","[{'text': 'BeirutBlast', 'indices': [86, 98]}]"
vcastanonv,it’s me. college footy at st. mary’s,,418,680,12854,2013-10-25 21:44:27,2020-08-04 23:59:41,181,"Smoke from Beirut was visible as far as 30 miles away Tuesday after two devastating explosions rocked the city earlier that day. According to the country’s health ministry, at least 70 people are dead and 3,700 injured. This is a developing story. (warning: distressing) https://t.co/TRIp55cug2",[]
ytyhw,"#SF9 #유태양 ot9 #ONEUS #여환웅 ot6 
multis 😚✌",Malaysia,223,131,7985,2018-08-10 04:48:25,2020-08-04 23:59:41,1299,educate yourself and others on what is happening in lebanon; a thread https://t.co/hQPm4afE60,[]
mikroyoonmin,yoonmin can like gEt iT • fan acc • she/her,,7741,12320,51660,2014-05-19 02:59:22,2020-08-04 23:59:41,11635,"Can’t stress enough how carastrophic the destruction of the port of #Beirut is to #Lebanon.

It is Lebanon’s central economic lifeline.

Lebanon is almost entirely dependent on imports

Without the port, there will be food and medicine shortages—amid an already collapsing economy https://t.co/NKxjwv9rKK","[{'text': 'Beirut', 'indices': [83, 90]}, {'text': 'Lebanon', 'indices': [97, 105]}]"
tbslvinyI,#HARRY: i am yours,she/her,321,6946,130391,2012-11-26 01:39:55,2020-08-04 23:59:41,335,thread of videos i found that donate to lebanon,[]
iZemrex,just tweeting,,9677,12680,765,2015-02-19 15:17:43,2020-08-04 23:59:41,3754,https://t.co/XyDSTDUjZK #Beirut needs our help!! 🙏🏽❤️ praying for everyone,"[{'text': 'Beirut', 'indices': [39, 46]}]"
sophiazapataa,,"Friendswood, TX",266,265,6389,2018-12-10 13:32:32,2020-08-04 23:59:40,19465,Shit Gave Me Chills Pray For Lebanon 🙏🏾 https://t.co/p3xXJW6TJv,[]
senrabwh,MAGA Conservative here to call out the fake MSM.  Staunch supporter of our great military. Lead through strength!  I follow back. Roll Tide Roll!,"Alabama, USA",1322,897,5807,2011-01-09 14:49:38,2020-08-04 23:59:40,231114,Stunning video shows explosions just minutes ago at Beirut port https://t.co/ZjltF0VcTr,[]
JoshuaRog3rs,"he/him
Treat your now fairly. If you can, treat your future fairly by working through your now thoughts and emotions about being treated unfairly. Build on you.","Portland, OR",833,276,35321,2016-03-20 04:00:19,2020-08-04 23:59:40,2813,"“Mom Please I don’t want to Die”

A Lebanese child in Beirut today 💔😭
https://t.co/k1CI7hYREO",[]
KparadiseK,✰ ❥♡☆ タイ人です ☐♡ 小山慶一郎 & 手越祐也 ♡ コヤテゴ大ファン ♡☐ NEWSファン ☐♡▽◯  ✪✪✪ HiHi Jets の髙橋優斗★橋本涼★猪狩蒼弥★井上瑞稀★作間龍斗○✬❀世界一Hiレベルな女❀✬ 深澤辰哉 Snow Man ♡,NEWS STORY 2020,500,835,169729,2010-01-29 08:21:50,2020-08-04 23:59:40,1834,"Awareness 

People in Beirut,Lebanon needs to stay indoors due to the recent Firewooks/nuclear explosion that happened in Beirut. The smoke is filled with nitric acid (Red/pink/purple smoke) which is toxic and can form an acidic rain.
#BeirutBlast #Beirut https://t.co/eyKYSiVJZ0",[]
